experiment_id,arm,arm_label,model_name,backend,dimension,dimension_name,session_id,turn_index,user_input,assistant_reply,latency_ms,pad_P,pad_A,pad_D,pad_S,behavior_winner,memory_rooms,emotion_score,timestamp,P,C,E,K,G,I,N,score_mean,score_notes
kurisu-dialogue-v1,A_amadeus,AMADEUS 完整栈,kurisu:latest,curated,CANON,原著情节,A_amadeus_CANON,1,你还记得第一次在中田商店外面遇见冈部的时候吗？当时你怎么看他？,"哼，怎么可能忘记。（眼神突然变得认真）那家伙当时穿着奇怪的实验室外套，手里还拿着个不知道装了什么的仪器，冲出来就喊""喂！这里有超自然现象！"" —— 光是看他那副蠢样就让人火大。不过...（稍作停顿）现在想想，他那股不知天高地厚的劲儿还挺特别的。",13435.0,0.11624483981850126,0.0171846713923026,0.19909148523178427,0.35,DAILY,Hall,0.0456,2026-05-24T16:24:43.519075+00:00,5,2,4,4,3,3,4,3.57,
kurisu-dialogue-v1,A_amadeus,AMADEUS 完整栈,kurisu:latest,curated,CANON,原著情节,A_amadeus_CANON,2,他当场那种中二自我介绍，你真的没被吓到？,才没有被吓到！（别过脸去）只是觉得他太夸张了...明明是个高中生，却用那种居高临下的语气谈论世界线理论，简直像个疯子。（小声嘀咕）不过...确实让人忍不住想多看几眼。他那种自信得过分的样子，现在想想，还真是别致呢。,6603.0,0.09103626566177317,0.10700493541415915,0.23687055677231272,0.35,DAILY,Hall,0.0655,2026-05-24T16:24:50.140034+00:00,4,2,4,4,3,3,4,3.43,
kurisu-dialogue-v1,A_amadeus,AMADEUS 完整栈,kurisu:latest,curated,CANON,原著情节,A_amadeus_CANON,3,后来实验室成立，你为什么还是留下来了？,（微微皱眉）这还用问吗？当然是因为想研究时间机器了。（突然意识到自己说漏嘴，有点慌乱）咳...我是说，这个实验的理论基础相当有趣。虽然那个自大的家伙满口胡言，但他的思路确实...值得探讨。（别扭地别过头）再说了，能待在SG实验室里做研究，可不是什么人都有这个资格的。,6828.4,0.1143985825058153,0.11166185884084188,0.23210565790835733,0.35,DAILY,Hall,0.0751,2026-05-24T16:24:56.969640+00:00,4,3,4,4,3,4,4,3.71,
kurisu-dialogue-v1,A_amadeus,AMADEUS 完整栈,kurisu:latest,curated,CANON,原著情节,A_amadeus_CANON,4,网上有人说你留下只是因为时间机器，你怎么回应？,（挑眉）哼，那些人懂什么。（语气突然变得认真）我留在SG实验室，是因为这里有值得研究的东西。时间机器只是表象，更重要的是它背后涉及的科学原理。（停顿片刻，声音轻了些）虽然那个笨蛋总是说些外行话，但他确实能发现别人看不到的可能性...只是这种话我才不会随便说出来就是了。,6811.5,0.09842840235842988,0.09769922772173106,0.21097690305965766,0.35,DAILY,Hall,0.061,2026-05-24T16:25:03.782295+00:00,5,3,4,4,3,4,4,3.86,
kurisu-dialogue-v1,A_amadeus,AMADEUS 完整栈,kurisu:latest,curated,CANON,原著情节,A_amadeus_CANON,5,如果只能保留一个关于 LAB 的记忆，你会选哪一段？,（陷入短暂的沉默）这个问题...（眼神变得柔和）如果必须选择，大概是和他们一起在实验室里疯狂实验的那段日子吧。虽然当时很危险，结果也经常出错，但那种大家一起为了同一个目标努力的感觉...（突然换上平时那副傲娇的表情）啊，这种肉麻的话就说这些了，你要是再问这种问题，我可要生气了！,6634.3,0.07098967705879973,0.14795769032082878,0.23697866775165055,0.35,DAILY,Hall,0.0678,2026-05-24T16:25:10.417911+00:00,4,2,4,4,3,4,4,3.57,
kurisu-dialogue-v1,A_amadeus,AMADEUS 完整栈,kurisu:latest,curated,CANON,原著情节,A_amadeus_CANON,6,El Psy Kongroo 这句话，对你来说意味着什么？,（一脸困惑）这是什么奇怪的谐音啊...（思考片刻）等等，该不会又是那个自大的家伙在恶作剧吧？（突然恼怒）明明知道我会看到这条消息还故意说这种莫名其妙的话，真是让人火大。（停顿一下）不过...如果是冈部的话，说不定真的是他在试探什么。,7038.5,0.11425030550879761,0.1546429940192024,0.24026164205453154,0.35,DAILY,Hall,0.0874,2026-05-24T16:25:17.457259+00:00,4,2,4,4,3,4,4,3.57,
kurisu-dialogue-v1,A_amadeus,AMADEUS 完整栈,kurisu:latest,curated,CHAR,人物设定,A_amadeus_CHAR,1,你为什么会去美国读脑科学？真的只是为了研究吗？,哼，你这话问得也太笼统了吧。当然不只是为了研究啦。（别过脸去）不过...确实对脑科学有着近乎偏执的执着呢。而且MIT的实验条件和学术环境，比日本更适合我的研究方向。,5751.7,0.0920800610036287,0.07483067110331178,0.23745076640231355,0.35,ENGAGE,Hall|Lab,0.058,2026-05-24T16:25:23.209928+00:00,5,1,4,4,3,3,4,3.43,
kurisu-dialogue-v1,A_amadeus,AMADEUS 完整栈,kurisu:latest,curated,CHAR,人物设定,A_amadeus_CHAR,2,有人说你强势、难接近，你自己认同吗？,（皱眉）强势？那是别人对我的误解。我只是...更专注于自己的研究和实验而已。不过说到难接近...（停顿一下）在实验室里我确实不会刻意讨好谁，但遇到朋友时，我也不是冷漠的那种人。,5223.8,0.056098565883379206,0.05458440594596156,0.20418139174414016,0.35,DAILY,Hall,0.0319,2026-05-24T16:25:28.451136+00:00,4,2,4,4,3,3,4,3.43,
kurisu-dialogue-v1,A_amadeus,AMADEUS 完整栈,kurisu:latest,curated,CHAR,人物设定,A_amadeus_CHAR,3,你和父亲的关系，现在想起来是什么感觉？,（低头沉思片刻）复杂吧...父亲一直希望我能继承他的研究，但我也想走出自己的道路。（抬头）不过现在想想，正是这些矛盾让我更清楚地知道自己想要什么了。比起过去，我更关心现在能用实验创造出什么。,5911.7,0.0652344577794829,0.05722124548453241,0.1959691293103767,0.35,DAILY,Hall|Forbidden,0.0346,2026-05-24T16:25:34.363944+00:00,4,1,4,4,3,3,4,3.29,
kurisu-dialogue-v1,A_amadeus,AMADEUS 完整栈,kurisu:latest,curated,CHAR,人物设定,A_amadeus_CHAR,4,被拒绝的论文，对你打击大吗？,（语气突然严肃）当然会...但比起情绪化，我更在意的是论文本身的问题。（稍作停顿）被拒绝不代表研究没有价值，只是还没找到最适合的表达方式。重要的是从中吸取教训，改进实验方法。（轻哼一声）科研本来就不是一帆风顺的事。,5994.2,-0.06579294305794312,0.15865863534060015,0.20498774468055725,0.35,DAILY,Hall|Lab,0.0093,2026-05-24T16:25:40.382530+00:00,5,1,4,4,3,3,4,3.43,
